label,precision,recall,f1,accuracy,roc_auc,support,n_samples
block,0.4261983863312767,1.0,0.5976705490848586,0.4261983863312767,0.5231443231075029,1796,4214
prolong,0.3102111158983197,0.5616224648985959,0.3996669442131557,0.4867109634551495,0.5064079882431314,1282,4214
soundrep,0.19981015662078785,1.0,0.33306962025316456,0.19981015662078785,0.4813540601234704,842,4214
wordrep,0.1644518272425249,1.0,0.28245363766048504,0.1644518272425249,0.4798305610574852,693,4214
interjection,0.34361651637399143,1.0,0.5114800423878488,0.34361651637399143,0.4954691039177383,1448,4214
no_stutter,0.0,0.0,0.0,0.2389653535832938,0.5107736644857993,3207,4214
