label,precision,recall,f1,accuracy,roc_auc,support,n_samples
block,0.4261983863312767,1.0,0.5976705490848586,0.4261983863312767,0.49906429783306716,1796,4214
prolong,0.30422401518747033,1.0,0.46652110625909754,0.30422401518747033,0.5016643503393614,1282,4214
soundrep,0.19981015662078785,1.0,0.33306962025316456,0.19981015662078785,0.49076067967867276,842,4214
wordrep,0.1644518272425249,1.0,0.28245363766048504,0.1644518272425249,0.50392327543705,693,4214
interjection,0.34361651637399143,1.0,0.5114800423878488,0.34361651637399143,0.49711947164263764,1448,4214
no_stutter,0.7610346464167063,1.0,0.8643040021560436,0.7610346464167063,0.49431605825018454,3207,4214
