label,precision,recall,f1,accuracy,roc_auc,support,n_samples
block,0.46,0.012806236080178173,0.024918743228602384,0.5728523967726625,0.5018141822375244,1796,4214
prolong,0.0,0.0,0.0,0.6957759848125297,0.4828176312591385,1282,4214
soundrep,0.22,0.013064133016627079,0.02466367713004484,0.7935453251067869,0.5076920665646669,842,4214
wordrep,0.2,0.01443001443001443,0.026917900403768506,0.8284290460370195,0.5205436111428727,693,4214
interjection,0.4,0.013812154696132596,0.0267022696929239,0.6540104413858566,0.48704149239182976,1448,4214
no_stutter,0.760806916426513,0.9878391019644528,0.8595848595848596,0.754390128144281,0.5147645929692651,3207,4214
